Feature,Importance
"line170 x end, line170 y end",0.0013075622100194274
"line171 x start, line171 y start",0.0
"line171 x start, line171 y end",0.00036202075177139514
"line171 x end, line171 y start",0.0
"line171 x end, line171 y end",0.00016021093316558117
"line172 x start, line172 y start",0.0
"line172 x start, line172 y end",0.001963258354636119
"line172 x end, line172 y start",0.0
"line172 x end, line172 y end",0.00015925771261533886
"line173 x start, line173 y start",0.0
"line173 x start, line173 y end",0.0010119696646884518
"line173 x end, line173 y start",0.0
"line173 x end, line173 y end",0.0007744073656658249
"line174 x start, line174 y start",0.0
"line174 x start, line174 y end",0.001003076395702943
"line174 x end, line174 y start",0.0
"line174 x end, line174 y end",0.0011077220020518802
"line175 x start, line175 y start",0.0
"line175 x start, line175 y end",0.0008824311431679032
"line175 x end, line175 y start",0.0
"line175 x end, line175 y end",0.0009741350239047649
"line176 x start, line176 y start",0.0
"line176 x start, line176 y end",0.0003763272790893253
"line176 x end, line176 y start",0.0
